Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ar vs Argentina,24,27.5,42.6,7,77,690,7.7,7,4,11,5,2,2,26,1,4.6,3.1,2.5,5.6,100,214,0.91,0.52,1.43,0.65,1.17,0.6,0.33,0.93,0.4,0.73
au vs Australia,20,27.0,62.3,4,44,360,4.0,6,5,11,6,0,0,4,0,7.2,7.2,5.8,13.0,78,221,1.5,1.25,2.75,1.5,2.75,1.81,1.45,3.26,1.81,3.26
be vs Belgium,20,27.5,43.0,3,33,270,3.0,2,2,4,2,0,1,3,0,4.6,3.9,3.9,7.8,80,110,0.67,0.67,1.33,0.67,1.33,1.52,1.31,2.82,1.29,2.6
br vs Brazil,26,27.5,43.8,5,55,480,5.3,3,2,5,3,0,0,12,1,2.0,2.0,1.8,3.8,80,204,0.56,0.37,0.94,0.56,0.94,0.38,0.34,0.72,0.38,0.72
cm vs Cameroon,22,27.1,58.3,3,33,270,3.0,4,4,8,4,0,0,6,0,5.8,5.8,4.7,10.5,84,146,1.33,1.33,2.67,1.33,2.67,1.92,1.58,3.5,1.92,3.5
ca vs Canada,19,28.1,48.0,3,33,270,3.0,7,6,13,7,0,0,5,0,3.9,3.9,3.7,7.6,58,87,2.33,2.0,4.33,2.33,4.33,1.3,1.23,2.52,1.3,2.52
cr vs Costa Rica,22,26.9,68.7,3,33,270,3.0,11,7,18,10,1,1,3,0,10.1,9.3,7.1,16.5,85,214,3.67,2.33,6.0,3.33,5.67,3.38,2.37,5.75,3.11,5.49
hr vs Croatia,21,27.5,45.7,7,77,690,7.7,7,4,11,6,1,1,11,0,11.0,10.3,6.6,16.9,123,253,0.91,0.52,1.43,0.78,1.3,1.44,0.86,2.3,1.34,2.2
dk vs Denmark,20,27.1,40.0,3,33,270,3.0,3,3,6,3,0,0,4,0,3.9,3.9,3.5,7.3,38,87,1.0,1.0,2.0,1.0,2.0,1.29,1.16,2.45,1.29,2.45
ec vs Ecuador,18,27.2,46.7,3,33,270,3.0,3,1,4,2,1,1,5,0,2.6,1.8,1.0,2.8,40,78,1.0,0.33,1.33,0.67,1.0,0.85,0.35,1.2,0.59,0.93
eng vs England,20,26.5,37.2,5,55,450,5.0,4,3,7,3,1,1,8,0,4.0,3.6,3.1,6.7,59,105,0.8,0.6,1.4,0.6,1.2,0.8,0.62,1.42,0.72,1.34
fr vs France,24,26.8,48.7,7,77,660,7.3,8,4,12,5,3,4,15,0,9.9,6.8,4.4,11.1,127,310,1.09,0.55,1.64,0.68,1.23,1.35,0.59,1.95,0.92,1.52
de vs Germany,20,28.1,40.7,3,33,270,3.0,5,2,7,5,0,0,2,0,3.4,3.4,1.7,5.1,31,85,1.67,0.67,2.33,1.67,2.33,1.13,0.56,1.7,1.13,1.7
gh vs Ghana,20,27.4,58.0,3,33,270,3.0,7,5,12,6,1,1,9,1,5.6,4.8,3.6,8.4,55,153,2.33,1.67,4.0,2.0,3.67,1.86,1.2,3.05,1.59,2.79
ir vs IR Iran,21,25.7,63.3,3,33,270,3.0,7,7,14,7,0,0,2,1,4.2,4.2,3.6,7.7,57,152,2.33,2.33,4.67,2.33,4.67,1.39,1.19,2.57,1.39,2.57
jp vs Japan,22,27.6,64.3,4,44,390,4.3,4,3,7,3,1,1,5,0,5.7,4.9,3.0,7.9,65,208,0.92,0.69,1.62,0.69,1.38,1.3,0.69,1.99,1.12,1.81
kr vs Korea Republic,21,27.0,51.8,4,44,360,4.0,8,6,14,7,1,1,3,0,7.1,6.3,4.9,11.2,63,141,2.0,1.5,3.5,1.75,3.25,1.77,1.23,3.0,1.58,2.8
mx vs Mexico,21,27.3,46.0,3,33,270,3.0,3,3,6,3,0,1,8,0,2.4,1.6,1.3,2.9,39,67,1.0,1.0,2.0,1.0,2.0,0.79,0.45,1.24,0.52,0.97
ma vs Morocco,25,27.2,61.0,7,77,660,7.3,4,2,6,4,0,0,7,0,7.4,7.4,5.3,12.8,134,365,0.55,0.27,0.82,0.55,0.82,1.01,0.73,1.74,1.01,1.74
nl vs Netherlands,21,26.4,47.0,5,55,480,5.3,4,2,6,3,1,1,13,0,6.1,5.3,3.9,9.2,110,151,0.75,0.37,1.13,0.56,0.94,1.14,0.73,1.87,0.99,1.72
pl vs Poland,21,27.5,62.8,4,44,360,4.0,5,5,10,5,0,2,6,0,7.3,5.8,4.2,10.0,120,233,1.25,1.25,2.5,1.25,2.5,1.82,1.04,2.86,1.46,2.5
pt vs Portugal,24,27.3,39.6,5,55,450,5.0,6,2,8,6,0,0,13,1,6.4,6.4,4.0,10.4,64,137,1.2,0.4,1.6,1.2,1.6,1.27,0.8,2.08,1.27,2.08
qa vs Qatar,20,26.5,57.0,3,33,270,3.0,7,4,11,6,1,1,6,0,3.5,2.8,1.6,4.4,47,119,2.33,1.33,3.67,2.0,3.33,1.18,0.53,1.71,0.92,1.45
sa vs Saudi Arabia,23,28.2,55.3,3,33,270,3.0,5,2,7,4,1,1,4,0,6.0,5.2,3.9,9.1,43,104,1.67,0.67,2.33,1.33,2.0,2.0,1.3,3.3,1.74,3.04
sn vs Senegal,20,26.5,55.3,4,44,360,4.0,7,6,13,7,0,0,4,0,3.4,3.4,2.9,6.4,62,138,1.75,1.5,3.25,1.75,3.25,0.86,0.73,1.59,0.86,1.59
rs vs Serbia,22,27.8,48.7,3,33,270,3.0,8,7,15,8,0,0,6,0,7.3,7.3,3.9,11.2,66,128,2.67,2.33,5.0,2.67,5.0,2.44,1.29,3.73,2.44,3.73
es vs Spain,21,27.5,24.3,4,44,390,4.3,3,3,6,3,0,0,9,0,3.4,3.4,3.2,6.6,33,74,0.69,0.69,1.38,0.69,1.38,0.79,0.74,1.53,0.79,1.53
ch vs Switzerland,24,26.8,51.0,4,44,360,4.0,9,8,17,9,0,0,9,0,5.4,5.4,4.5,9.9,71,151,2.25,2.0,4.25,2.25,4.25,1.35,1.12,2.48,1.35,2.48
tn vs Tunisia,21,26.7,55.7,3,33,270,3.0,1,1,2,1,0,0,2,0,2.8,2.8,1.6,4.4,40,138,0.33,0.33,0.67,0.33,0.67,0.94,0.53,1.47,0.94,1.47
us vs United States,20,27.0,47.0,4,44,360,4.0,4,3,7,3,1,1,7,0,4.4,3.6,3.1,6.7,59,135,1.0,0.75,1.75,0.75,1.5,1.09,0.78,1.87,0.89,1.67
uy vs Uruguay,19,27.1,51.3,3,33,270,3.0,2,1,3,1,1,2,7,0,3.5,2.0,1.8,3.8,48,104,0.67,0.33,1.0,0.33,0.67,1.18,0.6,1.78,0.66,1.27
wls vs Wales,18,26.6,53.3,3,33,270,3.0,6,4,10,6,0,0,6,0,4.6,4.6,3.2,7.8,64,133,2.0,1.33,3.33,2.0,3.33,1.53,1.07,2.6,1.53,2.6
