0,1,2
World Series,4-1,Los Angeles Dodgers over New York Yankees
ALCS,4-1,New York Yankees over Cleveland Guardians
NLCS,4-2,Los Angeles Dodgers over New York Mets
AL Division Series,3-2,Cleveland Guardians over Detroit Tigers
AL Division Series,3-1,New York Yankees over Kansas City Royals
NL Division Series,3-1,New York Mets over Philadelphia Phillies
NL Division Series,3-2,Los Angeles Dodgers over San Diego Padres
Wild Card Series,2-0,Detroit Tigers over Houston Astros
Wild Card Series,2-0,Kansas City Royals over Baltimore Orioles
Wild Card Series,2-1,New York Mets over Milwaukee Brewers
Wild Card Series,2-0,San Diego Padres over Atlanta Braves
